table,seq,column,is_pk,is_fk,id,type,size,description,d_caster,d_has_codes
dialysis_compare_state,1,id,1,,tr0JhDj4ZI01,INTEGER,,Dialysis Facility Compare - State,,
dialysis_compare_state,2,state,,,cr0JhDj4ZI01002,VARCHAR,2,State,,
dialysis_compare_state,3,percentage_of_patients_with_hgb_10_g_dl,,,cr0JhDj4ZI01003,INTEGER,2,Percentage of patients with Hgb<10 g/dL,,
dialysis_compare_state,4,percentage_of_patients_with_hgb_12_g_dl,,,cr0JhDj4ZI01004,INTEGER,1,Percentage of patients with Hgb> 12 g/dL,,
dialysis_compare_state,5,lists_the_number_of_facilities_in_the_state_with_patient_transfusions_categorized_as_better_than_expected,,,cr0JhDj4ZI01005,INTEGER,1,"Lists the number of facilities in the state with patient transfusions categorized as ""Better than expected""",,
dialysis_compare_state,6,lists_the_number_of_facilities_in_the_state_with_patient_transfusions_categorized_as_as_expected,,,cr0JhDj4ZI01006,INTEGER,3,"Lists the number of facilities in the state with patient transfusions categorized as ""As expected""",,
dialysis_compare_state,7,lists_the_number_of_facilities_in_the_state_with_patient_transfusions_categorized_as_worse_than_expected,,,cr0JhDj4ZI01007,INTEGER,2,"Lists the number of facilities in the state with patient transfusions categorized as ""Worse than expected""",,
dialysis_compare_state,8,percentage_of_adult_hd_patients_with_kt_v_1_2,,,cr0JhDj4ZI01008,INTEGER,2,Percentage of adult HD patients with Kt/V >=1.2,,
dialysis_compare_state,9,percentage_of_adult_pd_pts_with_kt_v_1_7,,,cr0JhDj4ZI01009,INTEGER,2,Percentage of adult PD PTS with Kt/V >=1.7,,
dialysis_compare_state,10,percentage_of_pediatric_hd_patients_with_kt_v_1_2,,,cr0JhDj4ZI0100a,INTEGER,3,Percentage of pediatric HD patients with Kt/V >=1.2,,
dialysis_compare_state,11,percentage_of_patients_with_arteriovenous_fistulae_in_place,,,cr0JhDj4ZI0100b,INTEGER,2,Percentage of patients with arteriovenous fistulae in place,,
dialysis_compare_state,12,percentage_of_patients_with_vascular_catheter_in_use_for_90_days_or_longer,,,cr0JhDj4ZI0100c,INTEGER,2,Percentage of patients with vascular catheter in use for 90 days or longer,,
dialysis_compare_state,13,lists_the_percentage_of_adult_patients_with_hypercalcemia_serum_calcium_greater_than_10_2_mg_dl,,,cr0JhDj4ZI0100d,INTEGER,1,Lists the percentage of adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),,
dialysis_compare_state,14,lists_the_percentage_of_adult_patients_with_serum_phosphorus_less_than_3_5_mg_dl,,,cr0JhDj4ZI0100e,INTEGER,2,Lists the percentage of adult patients with serum phosphorus less than 3.5 mg/dL,,
dialysis_compare_state,15,lists_the_percentage_of_adult_patients_with_serum_phosphorus_between_3_5_4_5_mg_dl,,,cr0JhDj4ZI0100f,INTEGER,2,Lists the percentage of adult patients with serum phosphorus between 3.5-4.5 mg/dL,,
