name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
competitive_bid_service_area,0,<type 'str'>,False,4,0,0,0,4,0,0,0,
company_name,70,<type 'str'>,False,4,0,0,4,0,0,0,0,"ALASKA STAIRLIFT & ELEVATOR LLC,ALCHEMY ORTHOTICS & PROSTHETICS LLC,ANCHORAGE FRACTURE AND ORTHOPAEDIC CLINIC, PC,BERNIES PHARMACY INC"
dba_name,40,<type 'str'>,False,4,0,0,4,0,0,0,0,"ALASKA STAIRLIFT & ELEVATOR LLC,ALCHEMY ORTHOTICS AND PROSTHETICS,ANCHORAGE FRACTURE AND ORTHOPAEDIC,BERNIES PHARMACY INC"
address,55,<type 'str'>,False,4,0,0,4,0,0,0,0,"230 E POTTER DR,12201 INDUSTRY WAY,3831 PIPER STREET,4100 LAKE OTIS PKWY"
address_2,55,<type 'str'>,False,4,0,0,4,0,0,0,0,"STE 5,SUITE D1,SUITE 220,STE 200"
city,30,<type 'str'>,False,4,0,0,4,0,0,0,0,ANCHORAGE
state,2,<type 'str'>,False,4,0,0,4,0,0,0,0,AK
zip,5,<type 'int'>,False,4,4,0,0,0,0,0,0,
zip_plus_4,4,<type 'str'>,False,4,0,0,0,4,0,0,0,
phone,13,<type 'str'>,False,4,0,0,4,0,0,0,0,"(907)245-5438,(907)562-0560,(907)563-3145,(907)562-2138"
oxygen_supplies_and_equipment,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
mail_order_diabetic_supplies,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
enteral_nutrients_equipment_and_supplies,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
cpap_devices_respiratory_assist_devices_and_related_supplies_and_accessories,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
hospital_beds_and_related_accessories,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
negative_pressure_wound_therapy_pumps_and_related_supplies_and_accessories,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
walkers_and_related_accessories,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
support_surfaces_group_2_mattresses_and_overlays,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
standard_power_manual_wheelchairs_scooters_and_related_accessories,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
external_infusion_pumps_and_supplies,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
general_home_equipment_and_related_supplies_and_accessories,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
respiratory_equipment_and_related_supplies_and_accessories,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
standard_mobility_equipment_and_related_accessories,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
is_supplier_participating,5,<type 'str'>,False,4,0,0,4,0,0,0,0,"FALSE,TRUE"
automatic_external_defibrillators_aeds,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
commodes_urinals_bedpans,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
continuous_passive_motion_cpm_devices,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
dynamic_splints,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
blood_glucose_monitors_supplies_non_mail_order,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
blood_glucose_monitors_supplies_mail_order,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
blood_glucose_monitors_mail_order,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
gastric_suction_pumps,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
heat_cold_applications,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
hospital_beds_electric,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
hospital_beds_total_electric_pediatric,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
hospital_beds_manual,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
hospital_beds_manual_pediatric,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
infrared_heating_pad_systems,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
infusion_pumps_supplies_external_infusion,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
infusion_pumps_implantable_uninterrupted,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
infusion_pumps_supplies_insulin_infusion,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
infusion_pumps_supplies_implanted_infusion,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
negative_pressure_wound_therapy_pumps_supplies,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
neuromuscular_electrical_stimulators_nmes,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
osteogenesis_stimulators,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
pneumatic_compression_devices,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
speech_generating_devices,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
support_surfaces_pressure_reducing_beds_mattresses_overlays_pads,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
support_surfaces_e_g_air_fluidized_bed,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
