Competitive Bid Service Area,Company Name,DBA Name,Address,Address 2,City,State,Zip,Zip Plus 4,Phone,Oxygen Supplies and Equipment,Mail-Order Diabetic Supplies,"Enteral Nutrients, Equipment and Supplies","CPAP Devices, Respiratory Assist Devices, and Related Supplies and Accessories",Hospital Beds and Related Accessories,Negative Pressure Wound Therapy Pumps and Related Supplies and Accessories,Walkers and Related Accessories,Support Surfaces (Group 2 mattresses and overlays),"Standard (Power & Manual) Wheelchairs, Scooters, and Related Accessories",External Infusion Pumps and Supplies,General Home Equipment and Related Supplies and Accessories,Respiratory Equipment and  Related Supplies and Accessories,Standard Mobility Equipment and Related Accessories,Is Supplier Participating?,Automatic External Defibrillators (AEDS),"Commodes, Urinals, & Bedpans",Continuous Passive Motion (CPM) Devices,Dynamic Splints,Blood Glucose Monitors & Supplies: Non-Mail Order,Blood Glucose Monitors & Supplies: Mail Order,Blood Glucose Monitors: Mail Order,Gastric Suction Pumps,Heat & Cold Applications,Hospital Beds: Electric,Hospital Beds: Total Electric & Pediatric,Hospital Beds: Manual,Hospital Beds: Manual & Pediatric,Infrared Heating Pad Systems,Infusion Pumps & Supplies: External Infusion,Infusion Pumps: Implantable & Uninterrupted,Infusion Pumps & Supplies: Insulin Infusion,Infusion Pumps & Supplies: Implanted Infusion,Negative Pressure Wound Therapy Pumps & Supplies,Neuromuscular Electrical Stimulators (NMES),Osteogenesis Stimulators,Pneumatic Compression Devices,Speech Generating Devices,"Support Surfaces: Pressure Reducing Beds, Mattresses, Overlays, & Pads",Support Surfaces (e.g. Air Fluidized bed),Traction Equipment,Transcutaneous Electrical Nerve Stimulators (TENS) Units,Ultraviolet Light Devices,Home Dialysis Equipment & Supplies,Hemodialysis Equipment & Supplies,Canes & Crutches,Patient Lifts,Power Operated Vehicles (Scooters),Seat Lift Mechanisms,Walkers,Wheelchairs & Accessories: Standard Manual,Wheelchairs & Accessories: Standard Manual (e.g. Pediatrics),Wheelchairs & Accessories: Standard Power,Wheelchairs & Accessories: Standard Power (e.g. Pediatrics and custom cushions ),Wheelchairs & Accessories: Complex Rehabilitative Manual,Wheelchairs & Accessories: Complex Rehabilitative Power,"Wheelchairs & Accessories: Complex Rehabilitative Power (e.g. Group 3, Group 4, Group 5)",Wheelchair Seating/Cushions,Wheelchair Seating/Cushions (e.g. skin protecting seat cushions),Orthoses: Custom Fabricated,Orthoses: Prefabricated,Orthoses: Off-the-Shelf,Breast Prostheses & Accessories,Cochlear Implants,Facial Prostheses,Neurostimulators,Ocular Prostheses,Ostomy Supplies,Somatic Prostheses,Tracheostomy Supplies,Urological Supplies,Voice Prosthetics,Prosthetic Lenses: Conventional Eyeglasses,Prosthetic Lenses: Conventional Contact Lenses,Prosthetic Lenses: Prosthetic Cataract Lenses,"Enteral Nutrients, Equipment, & Supplies",Enteral Nutrients & Supplies for Special Metabolic Needs and Pediatrics,"Parenteral Nutrients, Equipment & Supplies",Limb Prostheses,Eye Prostheses,"CPAP, RADs, & Related Supplies & Accessories",CPAP and RADs Supplies (e.g. combination masks),High Frequency Chest Wall Oscillation (HFCWO) Devices,Invasive Mechanical Ventilation,Intermittent Positive Pressure Breathing (IPPB) Devices,Intrapulmonary Percussive Ventilation Devices,Mechanical In-Exsufflation Devices,Nebulizer Equipment & Supplies,Nebulizer Equipment: Ultrasonic and Controlled Dose,Oxygen Equipment & Supplies,Respiratory Suction Pumps,"Ventilators, Accessories & Supplies",Surgical Dressings,Diabetic Shoes & Inserts: Prefabricated,Diabetic Shoes & Inserts: Custom Fabricated
,"ALASKA EYE CARE CENTERS, APC                                          ",ALASKA EYE CARE CENTERS                 ,1345 W 9TH AVE                                         ,                                                       ,ANCHORAGE                     ,AK,99501,    ,(907)272-2557,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,ALASKA STAIRLIFT & ELEVATOR LLC                                       ,ALASKA STAIRLIFT & ELEVATOR LLC         ,230 E POTTER DR                                        ,STE 5                                                  ,ANCHORAGE                     ,AK,99518,    ,(907)245-5438,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,ALCHEMY ORTHOTICS & PROSTHETICS LLC                                   ,ALCHEMY ORTHOTICS AND PROSTHETICS       ,12201 INDUSTRY WAY                                     ,SUITE D1                                               ,ANCHORAGE                     ,AK,99515,    ,(907)562-0560,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
,"ANCHORAGE FRACTURE AND ORTHOPAEDIC CLINIC, PC                         ",ANCHORAGE FRACTURE AND ORTHOPAEDIC      ,3831 PIPER STREET                                      ,SUITE 220                                              ,ANCHORAGE                     ,AK,99508,    ,(907)563-3145,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,BERNIES PHARMACY INC                                                  ,BERNIES PHARMACY INC                    ,4100 LAKE OTIS PKWY                                    ,STE 200                                                ,ANCHORAGE                     ,AK,99508,    ,(907)562-2138,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,CARRS PHARMACY #0520                    ,3101 PENLAND PKWY                                      ,                                                       ,ANCHORAGE                     ,AK,99508,    ,(907)339-5260,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,CARRS PHARMACY #1802                    ,1340 GAMBELL ST                                        ,                                                       ,ANCHORAGE                     ,AK,99501,    ,(907)339-0260,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,CARRS PHARMACY #1805                    ,1650 W NTHRN LIGHTS BLVD                               ,                                                       ,ANCHORAGE                     ,AK,99517,    ,(907)339-0560,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,CARRS PHARMACY #1806                    ,600 E NORTHERN LIGHTS BLVD                             ,                                                       ,ANCHORAGE                     ,AK,99503,    ,(907)297-0660,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,CARRS PHARMACY #1809                    ,5600 DEBARR RD                                         ,                                                       ,ANCHORAGE                     ,AK,99504,    ,(907)339-0960,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
