table,seq,column,is_pk,is_fk,id,type,size,description
supplier,1,id,1,,tdpyaaePgx01,INTEGER,,Supplier Data
supplier,2,competitive_bid_service_area,,,cdpyaaePgx01002,VARCHAR,0,Competitive Bid Service Area
supplier,3,company_name,,,cdpyaaePgx01003,VARCHAR,70,Company Name
supplier,4,dba_name,,,cdpyaaePgx01004,VARCHAR,40,DBA Name
supplier,5,address,,,cdpyaaePgx01005,VARCHAR,55,Address
supplier,6,address_2,,,cdpyaaePgx01006,VARCHAR,55,Address 2
supplier,7,city,,,cdpyaaePgx01007,VARCHAR,30,City
supplier,8,state,,,cdpyaaePgx01008,VARCHAR,2,State
supplier,9,zip,,,cdpyaaePgx01009,INTEGER,5,Zip
supplier,10,zip_plus_4,,,cdpyaaePgx0100a,VARCHAR,4,Zip Plus 4
supplier,11,phone,,,cdpyaaePgx0100b,VARCHAR,13,Phone
supplier,12,oxygen_supplies_and_equipment,,,cdpyaaePgx0100c,VARCHAR,2,Oxygen Supplies and Equipment
supplier,13,mail_order_diabetic_supplies,,,cdpyaaePgx0100d,VARCHAR,2,Mail-Order Diabetic Supplies
supplier,14,enteral_nutrients_equipment_and_supplies,,,cdpyaaePgx0100e,VARCHAR,2,"Enteral Nutrients, Equipment and Supplies"
supplier,15,cpap_devices_respiratory_assist_devices_and_related_supplies_and_accessories,,,cdpyaaePgx0100f,VARCHAR,2,"CPAP Devices, Respiratory Assist Devices, and Related Supplies and Accessories"
supplier,16,hospital_beds_and_related_accessories,,,cdpyaaePgx0100g,VARCHAR,2,Hospital Beds and Related Accessories
supplier,17,negative_pressure_wound_therapy_pumps_and_related_supplies_and_accessories,,,cdpyaaePgx0100h,VARCHAR,2,Negative Pressure Wound Therapy Pumps and Related Supplies and Accessories
supplier,18,walkers_and_related_accessories,,,cdpyaaePgx0100i,VARCHAR,2,Walkers and Related Accessories
supplier,19,support_surfaces_group_2_mattresses_and_overlays,,,cdpyaaePgx0100j,VARCHAR,2,Support Surfaces (Group 2 mattresses and overlays)
supplier,20,standard_power_manual_wheelchairs_scooters_and_related_accessories,,,cdpyaaePgx0100k,VARCHAR,2,"Standard (Power & Manual) Wheelchairs, Scooters, and Related Accessories"
supplier,21,external_infusion_pumps_and_supplies,,,cdpyaaePgx0100l,VARCHAR,2,External Infusion Pumps and Supplies
supplier,22,general_home_equipment_and_related_supplies_and_accessories,,,cdpyaaePgx0100m,VARCHAR,2,General Home Equipment and Related Supplies and Accessories
supplier,23,respiratory_equipment_and_related_supplies_and_accessories,,,cdpyaaePgx0100n,VARCHAR,2,Respiratory Equipment and Related Supplies and Accessories
supplier,24,standard_mobility_equipment_and_related_accessories,,,cdpyaaePgx0100o,VARCHAR,2,Standard Mobility Equipment and Related Accessories
supplier,25,is_supplier_participating,,,cdpyaaePgx0100p,VARCHAR,5,Is Supplier Participating?
supplier,26,automatic_external_defibrillators_aeds,,,cdpyaaePgx0100q,VARCHAR,2,Automatic External Defibrillators (AEDS)
supplier,27,commodes_urinals_bedpans,,,cdpyaaePgx0100r,VARCHAR,3,"Commodes, Urinals, & Bedpans"
supplier,28,continuous_passive_motion_cpm_devices,,,cdpyaaePgx0100s,VARCHAR,2,Continuous Passive Motion (CPM) Devices
supplier,29,dynamic_splints,,,cdpyaaePgx0100t,VARCHAR,2,Dynamic Splints
